Date,Temperature,Humidity,Rainfall,Wind_Speed,Location,Drought,Month,Season
2023-01-01,33.02822818651641,56.91892046990401,1.2939223890004994,7.970066854136634,California,0,1,Winter
2023-01-02,22.91429798292095,34.73101874047606,2.070074533301977,0.2953341980575086,California,0,1,Winter
2023-01-03,22.030123255742303,64.94122758411828,0.3325704240302949,13.725967426367747,California,0,1,Winter
2023-01-04,21.33436989789455,43.88344893282896,2.187376188781717,4.830627517163554,California,0,1,Winter
2023-01-05,23.27936747429236,89.01849176218832,6.984390710136651,16.993784520988417,California,0,1,Winter
2023-01-06,25.475909772935356,65.38172601756797,3.958795252313021,3.9683821160185007,California,0,1,Winter
2023-01-07,15.450173942975557,72.82972441473552,2.734937566366607,19.38689158050788,California,0,1,Winter
2023-01-08,22.00147946686373,66.00742903934628,13.192054918370562,5.765780830677409,California,0,1,Winter
2023-01-09,11.405167556872964,87.07922060890967,15.936449455359877,5.303838682447215,California,0,1,Winter
2023-01-10,12.785039795112931,78.79165147882802,6.256899050898102,10.616597795619915,California,0,1,Winter
2023-01-11,15.043077460243158,72.446999887776,4.290439011305535,3.722743067320995,California,0,1,Winter
2023-01-12,21.076156785521285,72.3665107027737,3.385668416643037,9.448793904369827,California,0,1,Winter
2023-01-13,24.589930328370283,81.5897801990227,15.936449455359877,9.585282161586935,California,0,1,Winter
2023-01-14,17.531954706990568,71.77483289670636,5.672444474560701,4.217778786405615,California,0,1,Winter
2023-01-15,29.3609056017138,35.59682330875085,8.201934356243227,2.9408175584668106,California,0,1,Winter
2023-01-16,29.53207474050428,75.17802881905514,1.3116392979534952,2.955005480773878,California,0,1,Winter
2023-01-17,10.085828613091266,86.37242972069782,15.936449455359877,8.859683339476721,California,0,1,Winter
2023-01-18,33.31953537393588,35.76363670956515,2.9675124218393183,3.933535103781043,California,0,1,Winter
2023-01-19,20.916171695124028,78.3169215762059,6.611284832295976,13.057655479870366,California,0,1,Winter
2023-01-20,11.966466597915511,76.0841008360074,7.834412287109291,2.00785943093768,California,0,1,Winter
2023-01-21,18.391542648724663,85.44790511150657,1.350940439570414,18.08741181494516,California,0,1,Winter
2023-01-22,25.2690041245004,55.014796408140825,0.1845556637333398,9.761528635800047,California,0,1,Winter
2023-01-23,29.11112769410576,36.13096830675413,0.0128051017157713,6.205642872226143,California,0,1,Winter
2023-01-24,10.570510162229882,64.03690284809463,0.9025462045061744,12.728475639402326,California,0,1,Winter
2023-01-25,24.56662169345578,40.30494630948678,9.016233359650728,3.0441183315927445,California,0,1,Winter
2023-01-26,11.79988048901115,59.86947944274331,12.15645527842377,8.678899636726996,California,0,1,Winter
2023-01-27,17.855335402644055,30.69161136591046,6.482281671327392,14.003134535711157,California,0,1,Winter
