Date,Location,pH,Nitrogen,Phosphorus,Potassium,Moisture
2023-01-01,California,6.178960699277022,34.48025747967295,5.116472512246295,198.08031215290836,23.371004746330968
2023-01-02,California,7.319933578753362,55.584657227593226,98.14439523329945,162.43673743917228,15.558811299714264
2023-01-03,California,6.688915720655729,71.36978557545599,12.787636159567983,63.464300930390706,10.228544494450858
2023-01-04,California,5.92228223928563,91.43320607636667,45.98188199181066,68.90298454514107,35.043145945603314
2023-01-05,California,6.306572964436999,40.71696679248692,32.24962187549205,123.87305327793116,39.73969987550105
2023-01-06,California,6.507952706072052,91.03025011467433,84.75930032817894,222.8107586359158,35.996876529682766
2023-01-07,California,7.106304621654102,31.017224871093497,22.52515360981461,182.86230564521236,25.927151742059657
2023-01-08,California,7.413524521291529,77.18292154535035,4.431825421784796,125.85043588209261,36.203872652610016
2023-01-09,California,5.68047381753892,98.0003009403168,24.465247737649996,28.349659611652733,15.085105039791648
2023-01-10,California,6.237154646632085,50.777449062052504,54.390125872884774,232.3631504206646,17.616113526310674
2023-01-11,California,5.6767350827287775,85.03656775291354,73.83055134477566,236.80757314219204,15.968863055751342
2023-01-12,California,5.941658756998,43.209357676820126,21.101238159312373,36.26891862553626,13.698846806931735
2023-01-13,California,6.386088232971308,73.45642096094682,40.666009572993886,242.39830392789563,31.095190402956412
2023-01-14,California,7.102389401569561,62.000834267150594,2.908420197140549,113.33473527130984,15.172623250191332
2023-01-15,California,6.2818968001912285,58.8051476770258,54.877655091090425,194.3011840786976,21.164943180232033
2023-01-16,California,6.533613079218862,32.07924457365697,51.60557395642337,266.8328510091225,30.775682504012302
2023-01-17,California,6.97290286974434,92.94614562850103,65.07697998419235,221.92948041376022,39.4775988742484
2023-01-18,California,7.415575076381235,16.095322376475995,89.2717275784277,195.3733929964811,15.011551736754562
2023-01-19,California,6.1608556150974,89.36547277712033,31.219192760403192,274.85161141782845,31.98711498708621
2023-01-20,California,5.830321453518231,63.98805469418897,9.336526576554927,236.35699177074855,23.12898733222004
2023-01-21,California,5.702227538652974,67.44308062905901,32.400425214805125,108.21465032973816,38.92925645772329
2023-01-22,California,5.753701562584208,59.67639315446051,95.36700328054103,62.17643573709586,27.580203981276544
2023-01-23,California,7.259597466965528,34.233644458888875,10.323416929846118,79.19496547686512,18.88118537392528
2023-01-24,California,6.911620252005794,97.93548165583154,38.49603332975894,188.47166837052254,32.52438904717992
2023-01-25,California,5.50862786205804,58.44568158276263,88.22255888300636,263.5913576761157,23.357366719587667
2023-01-26,California,7.098375718936594,74.2434475915883,4.5665494725909745,103.35592051739954,19.984519974498497
2023-01-27,California,5.7676201912063565,64.55335973459792,18.61716958140208,150.8766430516985,36.615310549759556
2023-01-28,California,6.257823485257118,49.56205030074462,62.004565405258326,246.49819987118752,27.764080169017625
